Game Name,Launch Date,Price,Image,Description
ELDEN RING,"25 Feb, 2022","₹3,599.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_sm_120.jpg?t=1748630546,No description found
The Elder Scrolls® Online,"23 May, 2017",₹399.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/306130/f38d05973ad01d20a0c9a49446a80017cb5f8f7d/capsule_sm_120.jpg?t=1752084841,No description found
Palworld,"19 Jan, 2024",₹975.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/4f823e476ad290ad4f19763e7d800723df422dfa/capsule_sm_120.jpg?t=1753943334,"Fight, farm, build and work alongside mysterious creatures called ""Pals"" in this completely new multiplayer, open world survival and crafting game!"
FINAL FANTASY XIV Online,"18 Feb, 2014",₹719.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/39210/2e45b2f419d0beed57ba1ff1d80a13d31f947d54/capsule_sm_120.jpg?t=1738089746,No description found
OCTOPATH TRAVELER II,"24 Feb, 2023","₹1,399.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1971650/capsule_sm_120.jpg?t=1751339832,"This game is a brand-new entry in the OCTOPATH TRAVELER series, the first installment of which was initially released in 2018 and sold over 3 million copies worldwide."
RimWorld - Odyssey,"11 Jul, 2025","₹1,100.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3022790/0ec2e24dc7d478bef541ef6f93ec7d24a1f8cffd/capsule_sm_120.jpg?t=1752242125,No description found
World of Warships,"15 Nov, 2017",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/552990/d15c917f0bf11b48ec54c9de2f0ad638d3bf157c/capsule_sm_120.jpg?t=1753795420,"Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!"
Limbus Company,"27 Feb, 2023",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1973530/capsule_sm_120.jpg?t=1747619569,"As the Executive Manager of Limbus Company, lead your group of twelve Sinners, venture into the buried facilities of Lobotomy Corporation, and lay claim on the Golden Boughs."
It Takes Two,"26 Mar, 2021",₹659.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1426210/capsule_sm_120.jpg?t=1749142249,Embark on the craziest journey of your life in It Takes Two. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges. Winner of GAME OF THE YEAR at the Game Awards 2021.
Detroit: Become Human,"18 Jun, 2020",₹719.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222140/capsule_sm_120.jpg?t=1667468479,No description found
,,No price,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2995920/capsule_sm_120.jpg?t=1733241802,"Download Friend's Pass* and play It Takes Two with a friend for free. Just grab a friend who owns the full game, download Friend's Pass for free, and play together!"
The Crew Motorfest,"18 Apr, 2024",₹699.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2698940/capsule_sm_120.jpg?t=1752255310,"Welcome to Motorfest, the ultimate open-world driving experience. Explore the Hawaiian islands of O'ahu and Maui. Celebrate the best of car culture through 20+ themed campaigns (street racing, offroad, drift...) and collect hundreds of iconic vehicles. Enjoy the game free for five hours!"
Black Myth: Wukong,"20 Aug, 2024","₹3,599.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2358720/b7f722ddd5e23503f598586aa3700dd4d827bb2d/capsule_sm_120.jpg?t=1749182199,No description found
Dune: Awakening,"10 Jun, 2025","₹2,799.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172710/4226e40ecd3f34c27a9ede320af531af24a57721/capsule_sm_120.jpg?t=1751664610,No description found
Split Fiction,"6 Mar, 2025","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2001120/1988bcdc421d71cbe4c8c07940967e7a0cd752be/capsule_sm_120.jpg?t=1748910778,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure."
Dead by Daylight: The Walking Dead,"29 Jul, 2025",₹463.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3884020/bf6279feee1a00192da1bb370eb617dc7c2adb12/capsule_sm_120.jpg?t=1753805324,No description found
THE FINALS,"8 Dec, 2023",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2073850/18cf1cd4acb51dd358aa10109eaff9ba9472102d/capsule_sm_120.jpg?t=1753779078,"Join THE FINALS, the world-famous, free-to-play, combat-centered game show! Fight alongside your teammates in virtual arenas that you can alter, exploit, and even destroy. Build your own playstyle in this first-person shooter to win escalating tournaments and lasting fame."
Riders Republic,"8 Jun, 2023",₹199.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2290180/capsule_sm_120.jpg?t=1750951499,"Jump into a massive multiplayer playground! Bike, ski, snowboard, or wingsuit across an open world sports paradise."
Shadowverse: Worlds Beyond,"15 Jun, 2025",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2584990/be338a40ec9d7cc06d4b885f02b56edfb674c65f/capsule_sm_120.jpg?t=1750319997,"Shadowverse: Worlds Beyond is a brand-new strategy card game from the popular Shadowverse CCG. With the newly added super-evolution mechanic and Shadowverse Park, among other brand-new content, there is lots to enjoy for both seasoned and brand-new players."
The Elder Scrolls V: Skyrim Special Edition,"28 Oct, 2016",₹449.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/489830/capsule_sm_120.jpg?t=1753715778,No description found
Wallpaper Engine,"16 Nov, 2018",₹250.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/431960/capsule_sm_120.jpg?t=1739211362,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!
The Elder Scrolls IV: Oblivion Remastered,"22 Apr, 2025","₹3,329.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2623190/4efc3257aabd776d4624da40146fb021d1ef5b38/capsule_sm_120.jpg?t=1753715775,No description found
WUCHANG: Fallen Feathers,"24 Jul, 2025","₹3,150.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2277560/7ad08d174b97880d3f611a068991b98471d1eb9c/capsule_sm_120.jpg?t=1753888317,"WUCHANG: Fallen Feathers is a soulslike, action RPG set in the land of Shu during the dark and tumultuous late Ming Dynasty, plagued with warring factions and a mysterious illness spawning monstrous creatures."
DELTARUNE,"4 Jun, 2025","₹1,099.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1671210/capsule_sm_120.jpg?t=1749252480,"Dive into the parallel story to UNDERTALE! Fight or spare your way through action-packed battles as you explore a mysterious world alongside an endearing cast of new and familiar characters. Chapters 1-4 will be available on launch, with more planned as free updates!"
Fallout 76,"14 Apr, 2020",₹624.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1151340/9fafce9a7ffd86523c6c3b4dbd755249a8538592/capsule_sm_120.jpg?t=1750779334,No description found
Call of Duty®: Warzone™,"16 Nov, 2022",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1962663/84a5d6150e49013a9b30c62d87cb5df602e2ef26/capsule_sm_120.jpg?t=1748534520,No description found
The First Descendant,"30 Jun, 2024",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2074920/a158040f15cc171b266f1abc944ab3105bcfe147/capsule_sm_120.jpg?t=1753257652,No description found
Hero's Land,"18 May, 2023",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2349820/c7b941611801ca8ca8b69cca97fd5f1cc957f1dc/capsule_sm_120_alt_assets_0.jpg?t=1754036212,"HERO'S LAND is an MMO PVPVE game where survival isn't just a goal—it's a necessity. Monsters and enemies are out to get you, making every encounter a potential ambush. Fight for glory, and welcome to a world where strategy and courage are your greatest assets."
Stardew Valley,"26 Feb, 2016",₹479.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/413150/capsule_sm_120.jpg?t=1711128146,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?"
ARK: Survival Ascended,"26 Oct, 2023","₹3,700.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2399830/capsule_sm_120.jpg?t=1750290390,"ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!"
Euro Truck Simulator 2,"12 Oct, 2012",₹920.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227300/da84d11d3ddd817e0cca299608b469a854d75ba5/capsule_sm_120.jpg?t=1753957314,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits."
Stronghold Crusader: Definitive Edition,"15 Jul, 2025",₹880.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3024040/0cbdbc8f353e170207b9f797d41473bb7681d51e/capsule_sm_120_alt_assets_0.jpg?t=1753292258,"Gird your loins and sharpen your steel! Besiege 20 unique enemy lords and battle friends online, in this expanded remaster of the classic 'castle sim'. Relive history with new units, opponents, visuals, audio, campaigns, skirmish trails, co-op and larger maps."
Schedule I,"25 Mar, 2025",₹880.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/986ee9a7a25cb0e61d1530cc3cd7e3e06aa68733/capsule_sm_120.jpg?t=1751926051,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more."
Grounded 2: Founder’s Pack,"29 Jul, 2025",₹500.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3788090/9bdfe586087998bec44cf023efde790126d75871/capsule_sm_120.jpg?t=1753807905,No description found
